Name,Username,Password,Department
Alfredo Acosta,alfredo.acosta,Contrasena123!,Sistemas
Lucia Mendez,lucia.mendez,Contrasena123!,Sistemas
Carlos Perez,carlos.perez,Contrasena123!,Contabilidad
Diana Ruiz,diana.ruiz,Contrasena123!,Contabilidad
Elena Sosa,elena.sosa,Contrasena123!,Sistemas
Fernando Gomez,fernando.gomez,Contrasena123!,Contabilidad
Gloria Cano,gloria.cano,Contrasena123!,Sistemas
Humberto Leon,humberto.leon,Contrasena123!,Contabilidad
Irene Diaz,irene.diaz,Contrasena123!,Sistemas
Jorge Nava,jorge.nava,Contrasena123!,Contabilidad
